liquidation;3;0;3;0
largement;0;1;5;0
konzerns;1;0;3;0
juge;4;1;1;0
intermédiaire;3;0;1;2
interdire;1;1;3;0
intention;2;0;2;2
instrument;0;4;2;0
inquiétude;0;4;1;1
importateur;0;0;5;1
iii;1;1;1;3
i;3;2;0;1
hubert;0;0;0;6
fusion;1;2;3;0
fonctionner;1;4;0;1
favoriser;2;1;3;0
exclure;3;1;2;0
excessif;4;0;2;0
exceptionnel;1;1;4;0
erhard;4;0;0;2
entier;2;0;1;3
efficacité;1;5;0;0
désignation;6;0;0;0
dépasser;1;0;5;0
définitivement;3;3;0;0
domination;1;5;0;0
divergence;2;2;1;1
dirigeant;0;2;4;0
diminuer;1;1;4;0
dangereux;0;6;0;0
correspondre;0;3;3;0
coopérer;1;5;0;0
convoquer;2;0;0;4
consommateur;4;1;0;1
considérer;1;2;0;3
congrès;0;1;1;3
concurrent;1;0;5;0
compter;0;2;0;4
commencement;1;4;1;0
commander;0;0;5;1
chance;2;3;1;0
bruxelles;0;2;1;3
bruce;0;1;0;5
bilan;2;1;2;1
baisser;0;0;5;0
aussitôt;1;0;1;4
assigner;0;2;3;1
aspect;0;3;1;2
apprécier;2;0;1;3
ancien;1;0;3;0
alinéa;4;0;0;2
ajustement;1;2;3;0
agression;0;5;0;0
affectation;0;0;6;0
abandonner;0;5;1;0
éventuel;2;2;1;0
élevé;0;0;5;0
égal;0;1;4;0
vrai;0;3;0;2
voter;3;1;1;0
veto;4;0;0;1
veille;4;0;1;0
valeur;1;0;4;0
valable;3;1;0;1
unifier;1;4;0;0
transférer;4;0;1;0
traditionnel;1;2;2;0
totalité;0;1;3;0
territorial;5;0;0;0
tenue;1;2;0;2
temporaire;0;2;2;1
tarder;5;0;0;0
séance;0;0;1;4
strictement;0;1;0;4
soutien;1;0;3;1
sncf;0;0;5;0
simultanément;0;1;4;0
signer;1;0;0;4
signataire;5;0;0;0
shape;2;3;0;0
second;3;0;2;0
saxon;0;0;0;5
réussir;1;2;0;2
répéter;0;0;1;4
réaction;1;0;1;3
remplacer;3;1;1;0
remise;2;1;1;1
refuser;0;2;2;1
recours;4;0;0;0
recherche;1;2;2;0
qualité;1;0;1;3
prêter;0;1;3;1
précision;1;2;0;2
provisoire;4;0;0;1
protéger;0;0;5;0
protocole;5;0;0;0
profond;0;5;0;0
professeur;0;0;0;5
procurer;0;0;5;0
plein;1;1;3;0
perte;1;2;1;1
personnalité;4;1;0;0
parole;0;2;0;2
pareil;1;1;1;2
paiement;0;0;5;0
origine;1;4;0;0
occupation;2;2;0;1
néerlandais;3;0;1;1
norme;0;1;3;0
nord;3;2;0;0
nomination;3;0;0;2
mutuel;0;4;1;0
moderne;0;0;5;0
ministère;0;0;4;0
mine;1;1;2;0
mercredi;1;0;0;4
mars;5;0;0;0
marcher;1;0;3;1
lumière;0;2;2;1
louvel;1;0;1;1
local;0;0;4;1
livrer;1;2;2;0
joindre;3;2;0;0
jeudi;0;0;0;5
intérimaire;1;0;1;3
intéressé;0;0;3;2
inscrire;1;0;3;1
impression;0;2;1;2
historique;0;5;0;0
garder;0;2;2;1
fédération;0;4;1;0
futur;2;2;1;0
froid;0;3;1;0
franco_allemand;5;0;0;0
frais;0;1;4;0
fonder;0;4;1;0
faculté;2;0;2;1
fabrication;1;0;2;2
extrêmement;2;3;0;0
exercice;4;0;1;0
exemplaire;0;0;0;4
exclusivement;4;0;1;0
exception;2;0;3;0
détriment;1;2;2;0
délicat;2;2;0;1
dégager;1;3;1;0
définition;1;2;0;1
défendre;2;3;0;0
défaut;1;1;3;0
durée;1;1;2;1
durable;1;3;0;1
douter;0;3;0;2
double;0;1;2;2
disponible;0;0;4;1
discriminatoires;0;0;5;0
degré;0;4;1;0
critique;1;3;0;1
considérable;1;3;1;0
conseiller;0;0;1;4
conception;2;1;1;1
compétent;0;0;1;4
composition;5;0;0;0
complémentaire;1;1;1;2
clappier;0;0;0;5
clair;3;1;1;0
bénéficier;0;1;4;0
autoriser;1;0;2;2
au_delà;1;2;2;0
attribution;3;0;2;0
attlee;0;1;0;4
argent;0;0;3;0
appuyer;1;4;0;0
approfondi;0;2;0;3
apparait;2;2;0;1
apercevoir;2;2;0;1
améliorer;1;1;3;0
ambassadeur;0;0;0;5
ambassade;0;0;0;5
agriculture;0;0;4;1
administratif;1;1;3;0
ad_hoc;1;2;0;2
accorder;0;0;2;3
abaisser;0;0;5;0
élu;3;0;0;1
éclaircissement;0;0;0;4
échéant;2;0;1;1
échelle;1;0;3;0
vraisemblablement;3;1;0;0
vital;1;2;1;0
vert;3;0;0;1
vendredi;0;0;0;4
vaste;2;1;1;0
urgence;1;0;3;0
unanime;4;0;0;0
téléphone;0;1;0;3
trait;3;1;0;0
toucher;3;1;0;0
tendance;0;2;2;0
tableau;1;2;1;0
syndicat;2;0;0;2
surgir;4;0;0;0
supporter;0;1;2;1
suffisamment;1;0;1;2
subvention;0;0;4;0
structure;2;1;0;0
stable;0;0;4;0
spécialement;0;0;4;0
spierenburg;1;0;0;3
spaak;2;0;0;2
souvenir;0;1;0;3
souhaitable;1;1;1;1
sommaire;0;0;0;4
solidarité;0;4;0;0
soin;1;1;1;1
sir;0;1;0;3
signaler;2;0;0;2
sidérurgies;0;0;4;0
section;4;0;0;0
satisfaction;1;1;2;0
samedi;0;0;0;4
sain;0;0;4;0
résultera;1;2;1;0
