"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"normal";-1,13614109147244;0,611573189965093;-1,45560064647734;-0,584088955171898;0,314409141803775;-0,748322780621046;0,450479724361082;0,098614837493645;0,450905438145274;0,000164316618118411;4,76117155366504e-05;0,000269712722284371;0,00012729664361183;1,02022249881466;0,00013249721395438
"nancière";-1,86387823017182;-2,67759218334967;-0,299699485271783;-0,568917971278748;-0,817290683588647;-0,0914783060363283;0,388361846543061;0,605515160502604;0,00612299295433639;0,000442233893610784;0,000912653273688027;1,14337567113555e-05;0,00012729664361183;1,80260059761806;0,000413633756676666
"mêler";-1,13614109147244;0,611573189965093;-1,45560064647734;-0,584088955171898;0,314409141803775;-0,748322780621046;0,450479724361082;0,098614837493645;0,450905438145274;0,000164316618118411;4,76117155366504e-05;0,000269712722284371;0,00012729664361183;1,02022249881466;0,00013249721395438
"monétaire";-1,50000966082213;-1,03300949669229;-0,877650065874563;-0,74194224729802;-0,510952300824517;-0,434107645586318;0,638135301804136;0,22864829066907;0,133216407526795;0,000286421137509195;0,000135839345727897;9,80527396100001e-05;0,00012729664361183;1,13171722078765;0,000163039487566596
"minimum";-0,47247161034749;-0,318959359219641;2,07582178305271;-0,219481377124014;-0,148168985977025;0,964299681992215;0,0762458636221471;0,0262524732685073;0,897501663109346;2,84163562503947e-05;1,29505333093484e-05;0,000548525829549301;0,00012729664361183;1,03125917986582;0,000135379407144422
"militairement";-0,772272522122754;2,25615587662247;-2,03355122708012;-0,246417289013232;0,71989589009385;-0,648867033452427;0,0856433011698595;0,552236501788085;0,362120197042056;7,59203354384317e-05;0,000647970383114286;0,000526413704734468;0,00012729664361183;1,59046507422009;0,00032200693584002
"marchandise";-1,50000966082213;-1,03300949669229;-0,877650065874563;-0,74194224729802;-0,510952300824517;-0,434107645586318;0,638135301804136;0,22864829066907;0,133216407526795;0,000286421137509195;0,000135839345727897;9,80527396100001e-05;0,00012729664361183;1,13171722078765;0,000163039487566596
"mandataire";-0,1086030409978;1,32562332743774;1,49787120244993;-0,0542155893514434;0,66176277657376;0,747750424548634;0,00435613959733513;0,490334853973115;0,50530900642955;1,50141560410361e-06;0,00022369549025083;0,000285605058657716;0,00012729664361183;0,991725191679111;0,000125198649273684
"machine";-1,86387823017182;-2,67759218334967;-0,299699485271783;-0,568917971278748;-0,817290683588647;-0,0914783060363283;0,388361846543061;0,605515160502604;0,00612299295433639;0,000442233893610784;0,000912653273688027;1,14337567113555e-05;0,00012729664361183;1,80260059761806;0,000413633756676666
"lourd";-1,13614109147244;0,611573189965093;-1,45560064647734;-0,584088955171898;0,314409141803775;-0,748322780621046;0,450479724361082;0,098614837493645;0,450905438145274;0,000164316618118411;4,76117155366504e-05;0,000269712722284371;0,00012729664361183;1,02022249881466;0,00013249721395438
"longuement";2,03776227423707;-0,536019392181773;0,214174038052815;0,962144331957159;-0,253085468568654;0,101123835380672;0,944277629627556;0,0493614992621539;0,00636087111029107;0,000528596141168221;3,6574462866922e-05;5,83916305543962e-06;0,00012729664361183;1,26387441006765;0,000203340924736772
